"article_id","title","description","content","url","published_at","language","source_name","source_url","time","diff"
"3a7cc5be784ce321fdad3adc4051ee9a","Warner Bros. Sale Begins with Bids From Paramount, Netflix, Comcast","Warner Bros. Discovery sale has began with bids from Paramount, Netflix and Comcast.","The Warner Bros. bake-off has officially begun.
Paramount, Comcast and Netflix each submitted bids for some or all of Warner Bros. Discovery on Thursday, a source familiar with the matter confirms, officially kickstarting a process that is likely to ... [1740 chars]","https://www.hollywoodreporter.com/business/business-news/warner-bros-discovery-sale-begins-paramount-netflix-comcast-1236432767/","2025-11-21T02:02:30Z","en","The Hollywood Reporter","https://www.hollywoodreporter.com","1763737646510","1"
"c3b5dba164913b5259ac307b25e3d44a","Warner Bros. Discovery Bids Submitted by Paramount, Comcast, Netflix","Warner Bros. Discovery is evaluating multiple acquisition offers submitted Thursday by Paramount Skydance, Comcast and Netflix.","Warner Bros. Discovery is about to dive into the nitty-gritty work of deciding whether to sell itself — in whole or in part.
The media conglomerate, home to Warner Bros., HBO and HBO Max, CNN, TBS, HGTV and more, is now evaluating multiple acquisitio... [2616 chars]","https://variety.com/2025/tv/news/warner-bros-discovery-sale-bids-paramount-netflix-comcast-1236586842/","2025-11-21T01:49:00Z","en","Variety","https://variety.com","1763737646510","1"
"6b7b3c657c8f0770f5d142d09a1d30d7","Dow Jones Futures: Stock Market Suffers Ugly Reversal As Nvidia Fizzles, Bitcoin Dives","Dow Jones futures: The stock market suffered an ugly reversal as Nvidia's rally turned to losses. Bitcoin kept falling. Here's what to do.","Information in Investor’s Business Daily is for informational and educational purposes only and should not be construed as an offer, recommendation, solicitation, or rating to buy or sell securities. The information has been obtained from sources we ... [1013 chars]","https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-ugly-market-reversal-nvidia-fizzles-bitcoin-dives/","2025-11-21T01:04:00Z","en","Investor's Business Daily","https://www.investors.com","1763737646510","1"
"5291a3acc74b00c18c40c5e4c716a116","Paramount, Netflix & Comcast Submit Warner Bros Discovery Bids","Paramount, Comcast and Netflix have submitted bids to acquire all or part of Warner Bros. Discovery, ushering in a dramatic period of evolution for the media business.","Paramount, Comcast and Netflix have submitted bids to acquire all or part of Warner Bros. Discovery, ushering in a dramatic period of evolution for the media business.
Multiple sources confirmed the bidding to Deadline, with the word coming as a dead... [3379 chars]","https://deadline.com/2025/11/paramount-netflix-comcast-submit-wbd-bids-1236625396/","2025-11-21T01:59:00Z","en","Deadline","https://deadline.com","1763737646510","1"
"ca3962038756ee52b1d56c991fa0be95","Gap CEO Says Viral Denim Campaign Drove Sales, Driven by Gen Z","Gap CEO Richard Dickson said its viral campaign during the summer's denim ad wars drove double-digit growth in sales, fueled by Gen Z.","Gap is taking a victory lap after the success of its viral denim ad campaign over the summer.
Richard Dickson, CEO of Gap Inc., said the brand's ""Better in Denim"" ad campaign, in addition to being a huge hit on social media, converted into significan... [2039 chars]","https://www.businessinsider.com/gap-ceo-viral-denim-campaign-sales-growth-gen-z-2025-11","2025-11-21T03:04:00Z","en","Business Insider","https://www.businessinsider.com","1763737646510","1"
"7cfa7b04cf7ca771b9725385c5241574","Stock Market Today: Dow, S&P Live Updates for November 21","The selloff in stocks after a brief Nvidia Corp.-led rally spread from Wall Street to Asia, as renewed concerns over the artificial intelligence sector prompted investors to pull back from riskier assets. Cryptocurrencies weakened.","Connecting decision makers to a dynamic network of information, people and ideas, Bloomberg quickly and accurately delivers business and financial information, news and insight around the world
Connecting decision makers to a dynamic network of infor... [682 chars]","https://www.bloomberg.com/news/articles/2025-11-20/stock-market-today-dow-s-p-live-updates","2025-11-21T01:43:00Z","en","Bloomberg.com","https://www.bloomberg.com","1763737646510","1"
"692a44830bdbb4976da3c6e9db7ff85d","Sales of a teddy bear were suspended because of its sexually explicit AI","FoloToy, an AI-enabled toy company, has suspended sales of its products in response to a consumer safety report.","FoloToy, a company selling AI-enabled toys, suspended sales of its products after a consumer safety report showed there were few restrictions around what its toys would talk about, CNN writes. The report, put together by the US Public Interest Resear... [2117 chars]","https://www.engadget.com/ai/sales-of-a-teddy-bear-were-suspended-because-of-its-sexually-explicit-ai-233127354.html","2025-11-20T23:31:27Z","en","Engadget","https://www.engadget.com","1763737646510","1"
"71f7026fdb524739c43c331aac712f6a","Airlines brace for fuel disruptions at SEA Airport as repair on pipeline continues","Airlines that fly in and out of the Seattle - Tacoma International Airport (SEA) are preparing for potential disruptions to fuel delivery.","Airlines that fly in and out of the Seattle-Tacoma International Airport (SEA) are preparing for potential disruptions to fuel delivery as crews work to repair a leak in a pipeline in northern Washington.
Gov. Bob Ferguson has issued an emergency pro... [4535 chars]","https://komonews.com/news/local/olympic-pipeline-down-everett-bp-pipelines-north-america-repair-alaska-airlines-delta-air-brace-for-fuel-disruptions-at-sea-airport-pipeline-system","2025-11-20T23:16:15Z","en","KOMO","https://komonews.com","1763737646510","1"
"5c383972ca31a56279ce93cc6b63978b","Jensen Huang Says Market 'Did Not Appreciate' Nvidia's Blowout Quarter","Nvidia's record quarter and CEO Jensen Huang's comments spotlight high expectations, AI bubble concerns, and the company's market-shaking influence.","In a company meeting on Thursday, Nvidia CEO Jensen Huang said that ""the market did not appreciate"" its ""incredible"" quarter.
Nvidia delivered record-shattering earnings on Wednesday as Huang rebuffed swelling narratives around an AI bubble. Its stoc... [1454 chars]","https://www.businessinsider.com/jensen-huang-market-nvidia-quarter-meeting-2025-11","2025-11-21T00:53:00Z","en","Business Insider","https://www.businessinsider.com","1763737646510","1"
"14ca45a9a5a3abe65ee26a6695fd3aed","Oprah Winfrey, Margot Robbie","WB Discovery CEO David Zaslav hosted a starry dinner at his Beverly Hills home, hours before he flew to New York to field early bids for the company.","What a way to prepare for an auction: Warner Bros. Discovery CEO David Zaslav hosted a star-packed dinner at his Beverly Hills home Wednesday night, hours before he took a redeye flight to New York to consider the first wave of preliminary offers for... [1733 chars]","https://variety.com/2025/film/news/david-zaslav-dinner-oprah-winfrey-margot-robbie-lorne-michaels-1236587347/","2025-11-20T23:06:00Z","en","Variety","https://variety.com","1763737646510","1"
